"スキル項目コード","専門分野コード"
"S120010020","HF-040-010"
"S120010020","HN-010-010"
"S120010020","HN-010-020"
"S120010020","HN-010-030"
"S120010020","HN-030-010"
"S120010020","HN-030-020"
"S120010020","HP-010-010"
"S120010020","HP-010-020"
"S120010020","HP-010-030"
"S120010020","HP-010-050"
"S120010020","HP-010-130"
"S120010030","HI-020-010"
"S120010030","HS-030-020"
"S120010030","HF-020-010"
"S120010030","HF-040-010"
"S120010030","HN-010-010"
"S120010030","HN-030-010"
"S120010030","HP-010-010"
"S120010030","HP-010-030"
"S120010030","HP-010-050"
"S120010040","HI-040-010"
"S120010040","HU-040-010"
"S120010040","HE-050-010"
"S120010040","HF-010-030"
"S120010040","HF-020-020"
"S120010040","HF-030-020"
"S120010040","HF-040-010"
"S120010040","HN-010-010"
"S120010040","HN-010-020"
"S120010040","HN-010-030"
"S120010040","HN-030-010"
"S120010040","HN-030-020"
"S120010040","HP-010-020"
"S120010040","HP-010-030"
"S120010050","HI-040-010"
"S120010050","HU-040-010"
"S120010050","HF-010-030"
"S120010050","HF-020-020"
"S120010050","HF-030-020"
"S120010050","HF-040-010"
"S120010050","HN-010-010"
"S120010050","HN-010-020"
"S120010050","HN-010-030"
"S120010050","HN-030-010"
"S120010050","HN-030-020"
"S120010050","HP-010-020"
"S120020010","HI-020-010"
"S120020010","HI-090-030"
"S120020010","HF-020-010"
"S120020010","HF-040-010"
"S120020010","HN-010-010"
"S120020020","HU-040-010"
"S120020020","HU-120-020"
"S120020020","HU-120-050"
"S120020020","HS-030-020"
"S120020020","HS-050-010"
"S120020020","HP-010-030"
"S120020020","HP-010-050"
"S120020030","HI-020-010"
"S120020030","HI-090-030"
"S120020030","HF-020-010"
"S120020030","HF-040-010"
"S120020030","HN-010-010"
"S120030010","HI-040-010"
"S120030010","HI-090-010"
"S120030010","HI-090-020"
"S120030010","HU-070-010"
"S120030010","HU-080-010"
"S120030010","HU-090-010"
"S120030010","HE-020-010"
"S120030010","HE-020-020"
"S120030010","HE-040-010"
"S120030010","HE-050-010"
"S120030010","HE-060-010"
"S120030010","HS-020-010"
"S120030010","HS-050-010"
"S120030010","HF-010-030"
"S120030010","HF-020-020"
"S120030010","HF-020-030"
"S120030010","HF-020-050"
"S120030010","HF-030-020"
"S120030010","HF-030-030"
"S120030010","HF-030-040"
"S120030010","HF-040-010"
"S120030010","HF-040-020"
"S120030010","HF-040-030"
"S120030010","HN-010-030"
"S120030010","HN-020-030"
"S120030010","HN-030-020"
"S120030010","HP-010-020"
"S120030010","HP-010-060"
"S120030010","HP-010-090"
"S120030020","HI-040-010"
"S120030020","HU-070-010"
"S120030020","HU-080-010"
"S120030020","HE-020-010"
"S120030020","HE-020-020"
"S120030020","HE-040-010"
"S120030020","HE-050-010"
"S120030020","HE-060-010"
"S120030020","HS-020-010"
"S120030020","HS-050-010"
"S120030020","HF-010-030"
"S120030020","HF-020-020"
"S120030020","HF-020-030"
"S120030020","HF-020-050"
"S120030020","HF-030-020"
"S120030020","HF-030-030"
"S120030020","HF-040-010"
"S120030020","HN-020-030"
"S120030020","HP-010-020"
"S120030020","HP-010-030"
"S120030020","HP-010-060"
"S120030020","HP-010-090"
"S120030030","HI-040-010"
"S120030030","HU-070-010"
"S120030030","HU-080-010"
"S120030030","HE-020-010"
"S120030030","HE-020-020"
"S120030030","HE-040-010"
"S120030030","HE-050-010"
"S120030030","HE-060-010"
"S120030030","HS-020-010"
"S120030030","HS-050-010"
"S120030030","HF-010-030"
"S120030030","HF-020-020"
"S120030030","HF-020-030"
"S120030030","HF-020-050"
"S120030030","HF-030-020"
"S120030030","HF-030-030"
"S120030030","HF-040-010"
"S120030030","HN-020-030"
"S120030030","HP-010-020"
"S120030030","HP-010-060"
"S120030030","HP-010-090"
"S120030040","HI-040-010"
"S120030040","HU-070-010"
"S120030040","HU-080-010"
"S120030040","HE-020-010"
"S120030040","HE-020-020"
"S120030040","HE-040-010"
"S120030040","HE-050-010"
"S120030040","HE-060-010"
"S120030040","HS-020-010"
"S120030040","HF-010-030"
"S120030040","HF-020-020"
"S120030040","HF-020-030"
"S120030040","HF-020-050"
"S120030040","HF-030-020"
"S120030040","HF-030-030"
"S120030040","HF-040-010"
"S120030040","HN-020-030"
"S120030040","HP-010-020"
"S120030040","HP-010-060"
"S120030040","HP-010-090"
"S120030050","HI-040-010"
"S120030050","HU-070-010"
"S120030050","HU-080-010"
"S120030050","HE-020-010"
"S120030050","HE-020-020"
"S120030050","HE-040-010"
"S120030050","HE-050-010"
"S120030050","HE-060-010"
"S120030050","HS-020-010"
"S120030050","HF-010-030"
"S120030050","HF-020-020"
"S120030050","HF-020-030"
"S120030050","HF-020-050"
"S120030050","HF-030-020"
"S120030050","HF-030-030"
"S120030050","HF-040-010"
"S120030050","HN-020-030"
"S120030050","HP-010-020"
"S120030050","HP-010-060"
